clean_text,emotion_label,stress_label
all the best buat women si tim dan men si tim ina takut sedikit tapi saatnya pelapis kita menggali pengalaman dan melatih mental fighting,happy,0.14
halo tapi kamu memang kadang perasaan tidak tenang itu suka menyamper sih tidak enak ya tapi tidak apa apa everything is pergi tapi be ok hang on there ya kalau ingin cerita boleh ketuk direct message ku juga kok semangat cantik,happy,0.03
terima kasih ya sudah bikin hariku lebih baik hari ini waktu malam sama keluarga,happy,0.25
kehilangan semangat buat kenapa apa bareng teman sama teman kantor,sad,0.63
kalau sampai kejadian saya bikin kamu malu seumur hidup sih lihat saja,anxious,0.77
sengaja dibiarkan soalnya takut melanggar ham,anxious,0.8
bacot bangsat,angry,0.98
terima kasih ya sudah bikin hariku lebih baik tapi ya sudahlah waktu malam sendiri,happy,0.1
guys yuk mumpung masih sepi join ke di pinned ku dulu ya,neutral,0.28
rasanya sedih banget akhir akhir ini sumpah waktu malam sendiri,sad,0.83
takut begitu mengantuk,anxious,0.82
aku menemukan kentang goreng yang sangat enak aku akan memberitahu kalian nanti tunggu saja tidak sekarang karena apa saja bisa dijadikan konten aku akan melakukan apapun dengan diriku sendiri jadi ini memakan waktu yang lama,happy,0.02
lucu padahal kemarin saya sudah siap siap menahan malu untung tidak jadi,happy,0.01
saya juga dulu begitu nder lucu tapi nanti seiring berjalan nya waktu reda kok amarah nya belum bisa berdamai sama keadaan saja mangkanhya bawaan nya marah banget tapi tidak apa apa wajar kok itu wajar banget semangat nder,happy,0.05
biasa saja biar bunuh orang pun nama iya cebong pasti benar soalnya cebong sudah jadi tuhan iya rezim sabar saja yang waras,neutral,0.35
kalau kecil powernya se manusia biasa kalau gede powernya lebih gede mengikuti ukuran badan tapi geraknya juga jadi lambat tidak tahan lama,neutral,0.31
alamak takut kali,anxious,0.74
kenapa sih harus bikin masalah terus dan kepikiran terus sendiri,angry,0.87
lucu panik kamu,happy,0.07
sedih betul,sad,0.5
lelah sama keadaan sekarang dari tadi kepikiran di kantor sendiri,sad,0.57
kepikiran banyak hal sampai susah tidur banget asli,anxious,0.8
rasanya ingin marah terus sama dia,angry,0.8
deg degan menunggu hasil pengumuman waktu malam sendiri,anxious,0.84
ya dinikmati saja kalau kayak begitu selagi masih ada orangnya disayang sayang saja,neutral,0.39
zzullucia kasihan banget tadi mau foto berempat itu bb gueseleborratu disusun buat ganjel handphonenya nucil biar bisa pakai timer sedih tetapi agak lucu wkwk sad sedih dari mana ya hem sad sangat kopong sedih kali lah sad dulu tak mampu hantar anak ke pengasuh kalau about rm ke first month sje sok trpkse berulang dari kg mak ke kalau hari plus travel pergi balik husband keje state lain sedih weh igt balik sad punya facebook khusus hype mashiho tapi sepi anjr giliran gue up member lain ramai sudah ku hapus sekarang mau buat lagi menyesal ngehapus sad padahal deh gea baru dapat penghargaan sudah dibuat sedih lagi sama tim tolol sad sedih banget sad tahun lebih bareng terus bagaimana tidak sedih pas ditinggalkan sad ikutan sedih malah ikutan menangis pas dijauhi dan teman yang paling dekat sad tau tidak sih kalau hari ini itu berasa kayak bahagia tapi sedih juga sad orang orang di tiktok kok jahat banget sih padahal lockey lagi sedih kenapa terus saja di buat makin sedih he jahat banget sad akun saya makin syepi sedih benar sad lucu iya meanwhile yang kumau itu nendo nendo tolong halo gsc sedih banget orang rerelease figure deh apakek astaga sad sesaat sebelum lepas landaas biasanya tidak begitu sedih kok sekarang sedih campur mengantuk juga sad aku menjadikanmu sesempatnya tak seperti dulu yang selalu ada adalah bentuk kecewa yang tak bisa ku ungkapkan karena masih tersisa sedikit rasa yang menjadi pengalangnya semoga bisa cepat hilang sepenuhnya sad lihat video musik teaser wonpil jadi galau ih lagunya sedih kayaknya huhu sad jujur ya saya tidak pernah dengar kabar mipa benaran sepi itu kelas dan kayak angker bagaimana begitu sad sedih sih karena video ini jadi banyak yang tidak mau ke dokter perempuan dokter yang jaga di klinik tempat saya kerja kebanyakan perempuan dan semuanya detail jelaskan penyebab keluhan pasien mau pasien selama apapun cerita soal keluhan tetap dijelasin sampai pasiennya mengerti sad ini kuota dari kampus tidak turun apa ya sedih amat duit habis buat beli kuota doang sad baru kali ini bangun tidur dari indekos merasa sepi padahal biasanya dibangunkan sih mirza ran tangi kelas esuk apel,sad,0.75
nangisin cowok muka pas an dan attitudenya jelek is another level of tolol,angry,0.86
tidak kak gue cuma masih kaget,anxious,0.74
rasanya kosong saja hari ini padahal sudah coba santai tadi pagi sendiri,sad,0.75
mau tidur tetapi takut kebablasan,anxious,0.74
semangat kak ell,happy,0.14
akhirnya tugas selesai juga lega banget banget asli waktu malam sama dia,happy,0.14
jends kalian ada yang sudah pernah mencoba skintific moist bagus enggak sih aku mau beli tetapi masih ragu soalnya harganya lumayann,anxious,0.79
apaansih kok jadi sedih,sad,0.66
khawatir sama kondisi sekarang dari tadi kepikiran bareng teman sama keluarga,anxious,0.92
aku sudah dewasa aku sudah kecewa,sad,0.64
kenapa aku kalau refleks itu suka malu memalukan diri sendiri,anxious,0.84
akhirnya tugas selesai juga lega banget padahal sudah coba santai di rumah sama dia,happy,0.21
tapi sedih sama captionnya love my tannie,sad,0.62
anxious banget sebelum meeting tadi serius di kampus sama dia,anxious,0.87
semangat kakak fiony sehat selalu we always love kamu,happy,0.04
takut gagal di presentasi besok bareng teman sama teman kantor,anxious,0.88
takut gagal di presentasi besok dari tadi kepikiran tadi pagi,anxious,0.91
hari ini produktif dan suasana hati bagus jujur saja di kantor sama keluarga,happy,0.22
bingung dan takut ambil keputusan dari tadi kepikiran sama dia,anxious,0.88
tbl tbl takut banget lah yang sering tiktokan pasti pernah dengar frasa yang diciptakan ini sejak viral tbl digunakan oleh perusahaan besar untuk promosi penciptanya pun kecewa karena tidak meminta izin memangnya frasa bisa dilindungi,anxious,0.8
deg degan menunggu hasil pengumuman bareng teman sendiri,anxious,0.78
pickaw pengadilan negeri sepi mulu,neutral,0.25
terima kasih ya sudah bikin hariku lebih baik hari ini waktu malam sama keluarga,happy,0.25
takut kalau hasilnya jelek sih di kampus sama teman kantor,anxious,0.78
streaming child pagi pagi enak banget selingannya ssfw sama we go up,happy,0.16
bodoh punya pernyataan baik lagi minum arak melacur main judi baru betul thrill,angry,0.95
petai cina ampuh turunkan gula darah nah kali ini mintani mau bertanya siapa yang suka makan petai cina yuk ngacung mintani suka banget dengan yang satu ini apa saja sih manfaatnya dari petai cina ini yuk kita sama simak info grafis berikut,neutral,0.23
semangat jalani hidup dengan bahagia yang seperlunya bersedih dengan seperlunya dan bersyukur sebanyak banyaknya,happy,0.03
senyum sendiri pas ingat kejadian tadi dan kepikiran terus tadi pagi sama keluarga,happy,0.05
halo siang kak menyambung ke ursula nih maaf sudah bikin gelisah izin cek ya ursula,neutral,0.2
ya sukurin saja biar tidak nyinyir menyebar fitnah biasa saja kali,angry,0.89
khawatir sama kondisi sekarang sih,anxious,0.87
kepikiran banyak hal sampai susah tidur sumpah di kampus sama keluarga,anxious,0.83
cemas memikirkan masa depan sumpah bareng teman,anxious,0.89
bingung dan takut ambil keputusan agak random sih bareng teman sama teman kantor,anxious,0.82
ya berprasangka baik saja habis korupsi berjemaah anggap saja mereka kura kura pikun,neutral,0.25
marah banget karena pekerjaan berantakan tapi ya sudahlah tadi pagi,angry,0.75
days my prince ini wajib banget ditonton apalagi kalau suka romcom,happy,0.19
deg degan menunggu hasil pengumuman sama keluarga,anxious,0.94
baru bangun langsung disambut kabar bahagia,happy,0.14
sedih banget muka nya,sad,0.62
takut ah tetapi lucu,anxious,0.7
sabtu ceria,happy,0.05
anjing kaget gue,anxious,0.72
ayo ada amplop dibalik hanggar ya kok takut,anxious,0.9
denise semoga kamu bahagia iya,happy,0.05
tim b baku hantam dari awal lucu wwk memang tidak ketemu tetangga tapi jodohnya sama korea ngeri sedap nih akan ada baku hantam antara pedepokan dubai sama tadikan mesra,happy,0.16
kupat tidak enak,neutral,0.4
tadi aku lagi makan dapat notifikasi kan kaget,anxious,0.84
selamat pagi semua socialthreeners dimanapun anda berada biar semangat ayo unduh kumpulan foto ilmu pengetahuan sosial,neutral,0.24
kesal banget sama orang yang tidak tepat waktu dari tadi kepikiran tadi pagi sendiri,angry,0.9
senyum sendiri pas ingat kejadian tadi banget di kampus,happy,0.06
terima kasih ya sudah bikin hariku lebih baik serius di kantor,happy,0.29
sedih kiraiin lemburan sampai malam dibayar ternyata tidak,sad,0.68
ld nya scratch normal ld itungannya smol demej ya aku dom jakarta nderr,neutral,0.22
anggota dewan perwakilan rakyat kaget terus teriak bebaskan rizieq dewa baliho,neutral,0.24
lelah sih tapi puas hasilnya bagus dan kepikiran terus waktu malam,happy,0.08
lebih aneh lagi yang hobi dengarkan lagu sedih biar bisa sedih,sad,0.6
sampai teman teman aku ingat aku suka banget sama lagu ini lucu,happy,0.01
ini bangsa yang sedih dan menyedihkan,sad,0.67
takut kalau hasilnya jelek banget bareng teman,anxious,0.92
cape lagi puasa ada saja yang dibuat marah nya itu,angry,0.93
kehilangan semangat buat kenapa apa serius di kantor sama teman kantor,sad,0.58
ronaldo berkata jangan sedih ya besok abang belikan truck,neutral,0.32
sudah sabar tapi masih dibohongi waktu malam,angry,0.8
kemarin lucu hihi lucu hihi pas sekarang mau simpan permanen portalnya error ajxbsggxhsb panik kali kesal,angry,0.93
alhamdulillah benaran jeongwoo aku jadi tidak malu nanti awoaowkakw,happy,0.04
oyi sek isuk sudah udan ini enak e lapo,neutral,0.26
tidak dendam cuma diotak pikir kok bisa kayak begini,neutral,0.21
hari ini berat banget dijalani hari ini di rumah sama dia,sad,0.57
akhir akhir ini cemas terus banget asli di kampus sama dia,anxious,0.94
semangat bro,happy,0.11
nih semangat banget anjir,neutral,0.28
syok sedih banget,sad,0.78
beredar kabar haji faisal kini mulai pasang tarif rupiah juta untuk sekali wawancara,neutral,0.3
terus apa dipacarin kalau tidak bisa kasih kepastian nanti kalau ditinggal nikah sedih menyesal,sad,0.54
saya benci banget sama mantan,angry,0.89
masih susah pindah on dari kejadian itu dan kepikiran terus tadi pagi sama keluarga,sad,0.68
malu banget anjir tadi ada yang teriak misi paket saya sudah buru mau buka pintu kiraan paket saya sudah datang taunya paketnya untuk rumah sebelah,anxious,0.84
halo barang kali sedang cari partner si saya tahun tinggal di jakarta privasi aman mr p besar long dijamin istri tidak kecewa,neutral,0.38
karunia pekerjaan siapa pun anda yang saat ini bekerja di perusahaan instansi swasta maupun pemerintahan baik sebagai karyawan biasa atau atasan jika ingin pekerjaan anda membawa berkah buku ini bisa menjadi wawasan mencerahkan bagaimana bekerja yang membahagiakan,neutral,0.24
walau tegang,anxious,0.9
sedih juga ya meninggalkan rumah yang sudah belasan tahun ditinggali,sad,0.69
kamu takut juga tidak,anxious,0.79
bingung dan takut ambil keputusan serius di kampus sama teman kantor,anxious,0.72
maaf nih mus kalau menurut saya yang bodoh ini bknya yang mau pdh ibu kotanya tok tapi memangnya orang sak jakarta mau ikut pindah kbh kan kantor perusahaan semua masih neng jakarta cuma urusan administrasi negara sing pindah tapi itu mungkin ngko iya masih sono perwakilan kementerian sih neng jakarta,angry,0.91
merasa sendirian akhir akhir ini lucu pas perjalanan,sad,0.59
tidak saya itu ingin tidur cepat tapi selalu tidak bisa selalu tidak tenang kayak tidak memperbolehkan saya buat tidur kadang suka kebangun lah sampai bangun bangun pusing ini juga gara gara begadang mata jadi kelihatan lelah banget sama kantong mata hitam banget,anxious,0.79
aku kalau lagi di samping bapak selalu tremor takut tidak jelas padahal orangnya tidak kenapa apa,anxious,0.74
dari match competitive yang menang cuma tolol mending uninstall lagi saja sudah memang tidak berbakat,angry,0.86
no waayy abang aku no no pacaran dulu nanti mama marah,angry,0.96
takut banget buka wa,anxious,0.88
gue jadi takut pakai jnt,anxious,0.8
akhir akhir ini cemas terus lucu bareng teman sama keluarga,anxious,0.76
sedih ya lucu h mangats dong,happy,0.15
kehilangan semangat buat kenapa apa banget asli tadi pagi sama keluarga,sad,0.72
ahahhah iya masama bayangkan saja sudah beli terus kaget karena belakangnya tidak nyatu terus menangisi itu semua,anxious,0.73
sabtu sek semangat makaryo pren uang kenakalan cair,happy,0.01
marah banget karena pekerjaan berantakan sumpah di kampus sama keluarga,angry,0.91
sudah open guyss biasa ya kalau mau instan malam bisanya lucu,neutral,0.31
sudah tua masih bingung saja cari identitas diri,neutral,0.2
takut tidak bisa makan,anxious,0.74
takut kalau hasilnya jelek dari tadi kepikiran di kantor sendiri,anxious,0.83
dia baik dia tanggung jawab dia perhatian dia pengganti sosok papah dia mengerti aku orang tuanya sayang anggap aku seperti anaknya dia tidak membiarkan aku sedih selalu khawatir kalau aku kenapa kenapa and now i lost him forever,sad,0.79
jangan bodoh merasa baik baik saja seakan tak peduli dasar bego,angry,0.94
jadi nanti anaknya tertekan menikah tujuannya bahagia terus memulai kehidupan baru dengan orang yang kita cintai jadi kalau mau punya tidak punya anak tidak apa apa karena itu pilihan mereka asalkan mereka bahagia dan kalau mau punya anak disarankan punya persiapan yang matang banget bukan karena orang tuanya yang heboh sana sini aneh saja,angry,0.92
sudah biasa sudah perangai dia aku sudah masak,neutral,0.36
anehnya lagi ada anggota kaget kok bengkak anggaranya,anxious,0.88
tuhkan marah,angry,0.87
takut gagal di presentasi besok agak random sih di kampus,anxious,0.8
harus nya dihukum mati itu bangsat rusak nama sumatra utara karena dia,angry,0.87
dapat kabar baik dari keluarga tadi pagi agak random sih sama dia,happy,0.27
kehilangan semangat buat kenapa apa padahal sudah coba santai bareng teman sama teman kantor,sad,0.7
baru saja mengirim foto bekasi,neutral,0.28
di tengah ruang yang hening suara aku mungkin terlalu bising untuk telingamu yang terlalu suka pada sunyi ya walau di kepalamu tetap saja berisik,neutral,0.34
akhirnya tugas selesai juga lega banget hari ini pas perjalanan,happy,0.08
takut kalau hasilnya jelek hari ini di kantor sama dia,anxious,0.87
nanti dan lain lain takut orang bayar utang mamakku,anxious,0.78
orang itu bikin emosi banget tapi ya sudahlah sama keluarga,angry,0.93
cemas memikirkan masa depan dari tadi kepikiran waktu malam sama teman kantor,anxious,0.82
kamu sih protes jadi kena marah kan,angry,0.98
lelah sih tapi puas hasilnya bagus banget tadi pagi,happy,0.09
enak saja,neutral,0.34
saya juga tidak jajan pakai duit sendiri biasa meminta ibu tapi kok ini bisa hilang ya,neutral,0.29
suka banget ya dikasarin giliran ditabok benaran nangess dasar orang tidak jelas,angry,0.95
lelah sih tapi puas hasilnya bagus banget asli di kantor,happy,0.19
tai gue benci twitter suka ke refresh sendiri bangsat padahal tadi ada twit lucu jadi tidak kebaca,angry,0.87
takut lah case naik nih erm,anxious,0.8
kan memang anjing sih simon ini itu sih chio memang dan suka sama ibel tapi dia takut kalau dia jatuh cinta sama sih ibel akan melakukan kesalahan yang sama kayak sih simon,angry,0.91
takut,anxious,0.83
merasa sendirian akhir akhir ini hari ini pas perjalanan sama teman kantor,sad,0.61
hari ini berat banget dijalani banget waktu malam sama keluarga,sad,0.85
sebenarnya panik juga sih,anxious,0.74
jual app premium dari netflix spotify disney viu iqiyi wetv youtube hbo go dan lain lain harian bulanan payment via ovo gopay spay dana full garansi affordable price trusted oh jangan ragu buat tanya dan direct message ya,neutral,0.36
dapat kabar baik dari keluarga tadi pagi padahal sudah coba santai bareng teman sendiri,happy,0.23
makan favorit hari ini bikin bahagia dari tadi kepikiran bareng teman,happy,0.12
alhamdulillah jimin pagi kabar baik,happy,0.1
semangat rebahan saya adalah,happy,0.1
orang itu bikin emosi banget tapi ya sudahlah di kantor sama dia,angry,0.74
masih susah pindah on dari kejadian itu banget sama teman kantor,sad,0.63
takut kayak dulu lagi he,anxious,0.79
sudah sabar tapi masih dibohongi agak random sih bareng teman sama teman kantor,angry,0.88
emosi lihat komentar orang tadi agak random sih waktu malam sama keluarga,angry,0.67
selain sharing dan belajar bersama tentu saja kamu bisa berkenalan dengan rekan lain kamu berjejaring,neutral,0.39
eh berbicara begitu di benci sama orang jepang lah jangan sampai kamu berbicara begitu terus orang jepang ngangep negara kamu nih tidak benar etika nya,angry,0.86
lelah menghadapi orang yang egois serius di kampus sendiri,angry,0.68
cara muvon tercepat yang tidak direkomedasikan buat dia ilfeel benci sama kita begitu sebaliknya dan im done yeahh fufuufu gimme high five,neutral,0.38
ingat mereka tetap akan menjadi orang baik mungkin saat kamu dibuat hancur oleh mereka mereka sedang tidak tau apa yang mereka perbuat tuhan saja selalu memberikan pengampunan untuk kita manusia masa kita sesama mamusia tidak bisa saling mengampuni,neutral,0.27
haah tidak banyak yang bisa didapatkan dari grup obrolan itu sudah berkali kali hela napasnya mengudara sudah berpuluh berita ia baca untuk mengetahui lebih dalam soal kasusnya bahkan sistem database nya pun berulang kali mengirimkan pesan terkait kasus itu,neutral,0.35
antara benci dan rindu kotoha tanaka,neutral,0.37
wah hari ini rasa rajin banget belanja ke pasar terus bikin ebi furai nge recook resepnya ci devina hermawan untung berhasi dan enak jadi semua orang rumah suka,happy,0.16
lelah menghadapi orang yang egois padahal sudah coba santai pas perjalanan sendiri,angry,0.71
menetapkan menonton film terbaru spider man venom menunggu nanti setelah blu ray legal streamnya keluar saja kapan ya bisa bebas ke bioskop lagi tanpa rasa takut tidak masalah juga menonton setelah hype redah walau mau tidak mau spoiler bertebaran,anxious,0.79
rasanya gugup terus hari ini agak random sih sama teman kantor,anxious,0.83
tidak deng benaran cemas karena pada posting sedikit selesai sidang kan jadi cemas,anxious,0.73
mamah kamu sudah marah marah belum pagi ini,neutral,0.26
orang yang mendapat malu di suatu pertemuan i memilih for at the,neutral,0.27
tau kan rasanya mau lanjut tidak bisa melek takut menabrak,anxious,0.82
ngentot cacat semua toto kromone,angry,0.96
sabar itu kelihatannya bodoh kalau dipikir pakai logika,neutral,0.24
tetapi lebih tolol fenss nya sih,angry,0.88
aww malu banget sumpah,anxious,0.83
i ain t lockey but i feel bad for that buat para lockey jangan sedih terus ya i wish all the best for denise secret number and lockey semangat terus lockey buat dukung denise sn,sad,0.54
saya kecewa dengan keputusan tersebut,sad,0.57
tidak aneh kok nder kamu dom mana kalau dekat ayo menonton bareng aku kutemenin tapi menonton sendiri juga tidak buruk bodoamat saja toh tidak kenal awala bingung itu normal banget kok,neutral,0.23
kepikiran banyak hal sampai susah tidur jujur saja di kampus sendiri,anxious,0.83
mari kita lihat manusia tolol,neutral,0.27
satu bulan belakangan lumayan sibuk banyak kegiatan di luar rumah terus beberapa hari yang lalu asam lambung sempat kambuh sudah takut banget bakal drop lagi tapi tidak disangka puji tuhan hari ini kondisi aku sudah jauh lebih baikkan thankyou yesus,happy,0.09
cemas memikirkan masa depan lucu di kantor sama keluarga,anxious,0.81
kesal banget sama orang yang tidak tepat waktu sumpah waktu malam sama dia,angry,0.67
pasti rasanya kayak ingin marah sama pacarnya ya nder,neutral,0.21
bingung dan takut ambil keputusan banget asli tadi pagi sama keluarga,anxious,0.84
emosi lihat komentar orang tadi dari tadi kepikiran bareng teman,angry,0.94
sedih kakak tahan mengantuk kot,sad,0.53
kata mama harus baik sama orang lain tetapi kalau orang itu ngelunjak ya sudah diamkan saja tapi saya orangnya tidak tega an jadi ya begitu jatuhnya malah tolol ngebantuin orang yang tidak bisa usaha sendiri,angry,0.95
a lucu sedih banget tau enggak mau sampai kapan begini terus,sad,0.71
syafii i sama arif pernah berkata bahwa budaya arab adalah rongsokan tapi diadopsi oleh banyak warga indonesia kita pakai logika saja pernyataan jenderal dudung sangat logis dan bagus untuk menggerus budaya rongsokan dari arab,neutral,0.34
orang itu bikin emosi banget dari tadi kepikiran pas perjalanan,angry,0.84
kamu tidak bisa memaksakan sesuatu yang bukan untuk mu ikuti saja alurnya berusaha lah jadi yang terbaik versi kamu dan selebihnya pasrahkan pada nya,neutral,0.34
sedih banget dengarnya,sad,0.57
kak bisa ke sf juga keren sudah jujur takut tapi seru,happy,0.2
semangat cii,happy,0.17
saya tau malu ya ih,sad,0.53
lagi pusing tapi kalau dapat dana kaget hilang nih pusingnya,anxious,0.8
kesal banget sama orang yang tidak tepat waktu hari ini pas perjalanan sendiri,angry,0.68
eh kok papa kenal namira lihat bokapnya penasaran ini alex anaknya pak adin yang kecilnya suka kelai itu kan alex ngangguk sampai sekarang juga masih suka kelai om cuma tidak ada lawannya berani banget memang ini anak bikin malu campur kesell,angry,0.96
seperti begini nih manusia paling tolol sedikit sedikit bawa agama pola pikir goblok berkedok agamis,angry,0.93
terlihat meyakinkan namun menyakitkan suatu saat kamu akan mengingatku entah sebagai orang bodoh yang berhasil kamu tipu atau sebagai orang baik yang kamu kamu kamu kan,sad,0.62
apa kabar saya yang pencinta yang notabenenya pencinta buku non fiksi,neutral,0.25
sedih banget pagi pagi,sad,0.6
kadang ingin bilang ke sesama perempuan jangan lah bego bego kali karena satu laki laki doang tidak worth itu begitu lah kalian itu cantik pintar sifatnya menyenangkan di luar sana pasti ada cowok baik yang mau sama kalian stop menyakiti diri sendiri begitu,neutral,0.3
sch gais tanggal masih bisa unggah foto kan tadi pagi aku unggah foto tapi pas lagi loading malah error please notice sender panik banget nih servernya error,anxious,0.81
kak lucu gue aku juga bingung takut akun sopi di laporan atau bagaimana huhu,anxious,0.86
sepertinya sih tidak akan ada selca hari ini xixi penonton kecewa,sad,0.6
kecewa banget sama hasilnya dari tadi kepikiran di kampus sendiri,sad,0.7
emosi lihat komentar orang tadi bareng teman sama dia,angry,0.82
rek aku cewek umur tahun aku diumur segini masih saja dipukuli sama bapakku sendiri hanya karena masalah sepele misal salah pakai panci buat masak mie aku dari kecil sudah biasa dipukul dan ibuku malah mengancam aku kalau sampai lapor ke siapa saja aku harus bagaimana aku sudah menyerah dengan hidup,sad,0.58
kesal banget hari ini sumpah pas perjalanan,angry,0.82
agak takut iya,anxious,0.71
ini tidak ada niatan digaji begitu ya sedih amat isip,sad,0.59
kenapa sih harus bikin masalah terus agak random sih waktu malam,angry,0.9
tidak sih kak tetapi baru sampai rumah jam pagi kyinya fix mengantuk banget tidak kuat melek tadi kiraan malam begitu lucu mino kamu benci aku ya,anxious,0.74
disgusting sejak kapan poligami diizinkan oleh agama buat mencegah zina rasul juga poligami bukan sama wanita muda tapi sama janda dan untuk melindungi mereka bukan buat ngewe halal tolol,angry,0.95
akhir akhir ini cemas terus agak random sih di rumah,anxious,0.81
tata kamu juga bego ya,angry,0.87
kepikiran banyak hal sampai susah tidur serius pas perjalanan sama dia,anxious,0.93
kalau aku biasa pakai yang automatic pengharumnya nder tetapi karena lagi rusak ganti yang spray kayak begini harum yang paling aku suka yang rose garden pojok kiri nanti semprotinnya diujung sudut kamar saja kalau misalnya ada makanan makanannya ditutupi nder biar tidak kena,neutral,0.26
masih susah pindah on dari kejadian itu hari ini pas perjalanan,sad,0.83
rangnick sangat kecewa kami seharusnya menang dan menutup pertandingan di babak pertama crossbar tiang gawang penalti yang gagal dan banyak peluang seharusnya atau bisa malah,neutral,0.3
orang itu bikin emosi banget jujur saja tadi pagi sama keluarga,angry,0.68
rasanya ingin marah terus jujur saja bareng teman,angry,0.69
takut tapi enak takut tapi dilanjutin hidung belang,anxious,0.86
sudah sabar tapi masih dibohongi banget di kantor sama keluarga,angry,0.91
marah banget karena pekerjaan berantakan sih sama keluarga,angry,0.71
saya orang kota tetapi tiap pulkam itu waktu pakai legging dilihat mulu apalagi sama yang laki padahal saya pakai oversize hoodie tetap melihatnya ke daerah privacy mulu risih lah bego paling aneh masa saya gowes pakai sepatu di bilang ra sah untuk sepatu nyeker saja mkstlo apa anjir mengatur,angry,0.9
sudah sabar tapi masih dibohongi jujur saja di rumah sama keluarga,angry,0.82
kemarin ada yang menyandingkan bung karno dengan munarman sekarang giliran haikal mengoceh tentang bung karno kelihatan terstruktur dan sistematis ada nuansa adu domba supaya partai demokrasi indonesia perjuangan dan nasionalis lainnya mengamuk ada pula nuansa mengaburkan sejarah ngeri,anxious,0.72
sebentar lagi mereka kaget karena ada rencana akan ada ibu kota halu,neutral,0.38
jangan tegang tegang kak,neutral,0.31
bismillah hari ini aku sehat aku bahagia aku berkelimpahan aku menarik rezeki dengan mudah segala urusanku dilancarkan aku disadarkan dalam setiap ucapan serta tindakan dan aku dipertemukan dengan jodoh dan orang orang yang baik amin ya allah,happy,0.02
kesal banget hari ini sih tadi pagi sama teman kantor,angry,0.88
