text,emotion_label,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,emotion_id
Mood lagi bagus pas dapat pelanggan baru meski kemarin sempat capek,happy,Mood lagi bagus pas dapat pelanggan baru meski kemarin sempat capek,mood lagi bagus pas dapat pelanggan baru meski kemarin sempat capek,mood lagi bagus pas dapat pelanggan baru meski kemarin sempat capek,"['mood', 'lagi', 'bagus', 'pas', 'dapat', 'pelanggan', 'baru', 'meski', 'kemarin', 'sempat', 'capek']","['mood', 'bagus', 'pas', 'pelanggan', 'kemarin', 'capek']",mood bagus pas pelanggan kemarin capek,2
Tadi pagi pas jalan sore kayak hari biasa aja,neutral,Tadi pagi pas jalan sore kayak hari biasa aja,tadi pagi pas jalan sore kayak hari biasa aja,tadi pagi pas jalan sore kayak hari biasa saja,"['tadi', 'pagi', 'pas', 'jalan', 'sore', 'kayak', 'hari', 'biasa', 'saja']","['pagi', 'pas', 'jalan', 'sore', 'kayak']",pagi pas jalan sore kayak,3
hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan!!,angry,hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan,hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan!!,hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan!!,"['hukum', 'penguasa', 'beraninya', 'ke', 'rakyat', 'kecil', 'bangsat', 'plus', 'bajingan', '!', '!']","['hukum', 'penguasa', 'beraninya', 'rakyat', 'bangsat', 'plus', 'bajingan', '!', '!']",hukum penguasa beraninya rakyat bangsat plus bajingan ! !,0
"Rasanya, tabungan kepake semua aku jadi overthinking",sad,Rasanya tabungan kepake semua aku jadi overthinking,"rasanya, tabungan kepake semua aku jadi overthinking","rasanya, tabungan kepake semua aku jadi overthinking","['rasanya', ',', 'tabungan', 'kepake', 'semua', 'aku', 'jadi', 'overthinking']","[',', 'tabungan', 'kepake', 'overthinking']",", tabungan kepake overthinking",4
Capek banget karena hasil interview ditolak aku jadi males ngomong,sad,Capek banget karena hasil interview ditolak aku jadi males ngomong,capek banget karena hasil interview ditolak aku jadi males ngomong,capek banget karena hasil interview ditolak aku jadi males bicara,"['capek', 'banget', 'karena', 'hasil', 'interview', 'ditolak', 'aku', 'jadi', 'males', 'bicara']","['capek', 'banget', 'hasil', 'interview', 'ditolak', 'males', 'bicara']",capek banget hasil interview ditolak males bicara,4
Hari ini baca artikel teknologi kayak hari biasa aja,neutral,Hari ini baca artikel teknologi kayak hari biasa aja,hari ini baca artikel teknologi kayak hari biasa aja,hari ini baca artikel teknologi kayak hari biasa saja,"['hari', 'ini', 'baca', 'artikel', 'teknologi', 'kayak', 'hari', 'biasa', 'saja']","['baca', 'artikel', 'teknologi', 'kayak']",baca artikel teknologi kayak,3
Sumpah ya laptop ngefreeze pas presentasi dan bikin stres banget,angry,Sumpah ya laptop ngefreeze pas presentasi dan bikin stres banget,sumpah ya laptop ngefreeze pas presentasi dan bikin stres banget,sumpah iya laptop ngefreeze pas presentasi dan bikin stres banget,"['sumpah', 'iya', 'laptop', 'ngefreeze', 'pas', 'presentasi', 'dan', 'bikin', 'stres', 'banget']","['sumpah', 'laptop', 'ngefreeze', 'pas', 'presentasi', 'bikin', 'stres', 'banget']",sumpah laptop ngefreeze pas presentasi bikin stres banget,0
Jengkel parah pas tetangga berisik tengah malam dan bikin stres banget,angry,Jengkel parah pas tetangga berisik tengah malam dan bikin stres banget,jengkel parah pas tetangga berisik tengah malam dan bikin stres banget,jengkel parah pas tetangga berisik tengah malam dan bikin stres banget,"['jengkel', 'parah', 'pas', 'tetangga', 'berisik', 'tengah', 'malam', 'dan', 'bikin', 'stres', 'banget']","['jengkel', 'parah', 'pas', 'tetangga', 'berisik', 'malam', 'bikin', 'stres', 'banget']",jengkel parah pas tetangga berisik malam bikin stres banget,0
Sekarang lagi karena scroll media sosial,neutral,Sekarang lagi karena scroll media sosial,sekarang lagi karena scroll media sosial,sekarang lagi karena scroll media sosial,"['sekarang', 'lagi', 'karena', 'scroll', 'media', 'sosial']","['scroll', 'media', 'sosial']",scroll media sosial,3
"bener bgt sih. banyak bgt yg benci ama gw. salah satunya pas gw kerja di penulis. ada nih 1 tmn gw yg didepan baik, dibelakang malah bilang ke kakak ipar gw kl dia gk suka gw, malah cenderung ke benci. pas gw diputus kontrak, dia tuh seneng bgt njir.",angry,bener bgt sih banyak bgt yg benci ama gw salah satunya pas gw kerja di penulis ada nih  tmn gw yg didepan baik dibelakang malah bilang ke kakak ipar gw kl dia gk suka gw malah cenderung ke benci pas gw diputus kontrak dia tuh seneng bgt njir,"bener bgt sih. banyak bgt yg benci ama gw. salah satunya pas gw kerja di penulis. ada nih 1 tmn gw yg didepan baik, dibelakang malah bilang ke kakak ipar gw kl dia gk suka gw, malah cenderung ke benci. pas gw diputus kontrak, dia tuh seneng bgt njir.","benar banget sih. banyak banget yang benci sama gw. salah satunya pas saya kerja di penulis. ada ini 1 tmn saya yang didepan baik, dibelakang bahkan bilang ke kakak ipar saya kalau dia gk suka gw, bahkan cenderung ke benci. pas saya diputus kontrak, dia tuh seneng banget njir.","['benar', 'banget', 'sih', '.', 'banyak', 'banget', 'yang', 'benci', 'sama', 'gw', '.', 'salah', 'satunya', 'pas', 'saya', 'kerja', 'di', 'penulis', '.', 'ada', 'ini', '1', 'tmn', 'saya', 'yang', 'didepan', 'baik', ',', 'dibelakang', 'bahkan', 'bilang', 'ke', 'kakak', 'ipar', 'saya', 'kalau', 'dia', 'gk', 'suka', 'gw', ',', 'bahkan', 'cenderung', 'ke', 'benci', '.', 'pas', 'saya', 'diputus', 'kontrak', ',', 'dia', 'tuh', 'seneng', 'banget', 'njir', '.']","['banget', '.', 'banget', 'benci', 'gw', '.', 'salah', 'satunya', 'pas', 'kerja', 'penulis', '.', '1', 'tmn', 'didepan', ',', 'dibelakang', 'bilang', 'kakak', 'ipar', 'gk', 'suka', 'gw', ',', 'cenderung', 'benci', '.', 'pas', 'diputus', 'kontrak', ',', 'tuh', 'seneng', 'banget', 'njir', '.']","banget . banget benci gw . salah satunya pas kerja penulis . 1 tmn didepan , dibelakang bilang kakak ipar gk suka gw , cenderung benci . pas diputus kontrak , tuh seneng banget njir .",0
Hari ini minum kopi sambil kerja,neutral,Hari ini minum kopi sambil kerja,hari ini minum kopi sambil kerja,hari ini minum kopi sambil kerja,"['hari', 'ini', 'minum', 'kopi', 'sambil', 'kerja']","['minum', 'kopi', 'kerja']",minum kopi kerja,3
Akhir-akhir ini pas orang tua sakit,fear,Akhirakhir ini pas orang tua sakit,akhir-akhir ini pas orang tua sakit,akhir-akhir ini pas orang tua sakit,"['akhir-akhir', 'ini', 'pas', 'orang', 'tua', 'sakit']","['akhir-akhir', 'pas', 'orang', 'tua', 'sakit']",akhir-akhir pas orang tua sakit,1
"Aku kecewa karena, ga ada yang ngerti kondisi aku susah fokus sejak tadi",sad,Aku kecewa karena ga ada yang ngerti kondisi aku susah fokus sejak tadi,"aku kecewa karena, ga ada yang ngerti kondisi aku susah fokus sejak tadi","aku kecewa karena, ga ada yang mengerti kondisi aku susah fokus sejak tadi","['aku', 'kecewa', 'karena', ',', 'ga', 'ada', 'yang', 'mengerti', 'kondisi', 'aku', 'susah', 'fokus', 'sejak', 'tadi']","['kecewa', ',', 'mengerti', 'kondisi', 'susah', 'fokus']","kecewa , mengerti kondisi susah fokus",4
Seharian karena scroll media sosial,neutral,Seharian karena scroll media sosial,seharian karena scroll media sosial,seharian karena scroll media sosial,"['seharian', 'karena', 'scroll', 'media', 'sosial']","['seharian', 'scroll', 'media', 'sosial']",seharian scroll media sosial,3
Aku cuma karena belajar online,neutral,Aku cuma karena belajar online,aku cuma karena belajar online,aku cuma karena belajar online,"['aku', 'cuma', 'karena', 'belajar', 'online']","['belajar', 'online']",belajar online,3
Tadi pagi karena tim akhirnya kompak jadi semangat lagi,happy,Tadi pagi karena tim akhirnya kompak jadi semangat lagi,tadi pagi karena tim akhirnya kompak jadi semangat lagi,tadi pagi karena tim akhirnya kompak jadi semangat lagi,"['tadi', 'pagi', 'karena', 'tim', 'akhirnya', 'kompak', 'jadi', 'semangat', 'lagi']","['pagi', 'tim', 'kompak', 'semangat']",pagi tim kompak semangat,2
Aku takut kalau pas takut mengecewakan tim seharian jadi kepikiran,fear,Aku takut kalau pas takut mengecewakan tim seharian jadi kepikiran,aku takut kalau pas takut mengecewakan tim seharian jadi kepikiran,aku takut kalau pas takut mengecewakan tim seharian jadi terpikirkan,"['aku', 'takut', 'kalau', 'pas', 'takut', 'mengecewakan', 'tim', 'seharian', 'jadi', 'terpikirkan']","['takut', 'pas', 'takut', 'mengecewakan', 'tim', 'seharian', 'terpikirkan']",takut pas takut mengecewakan tim seharian terpikirkan,1
"Aku panik karena, data project hilang",fear,Aku panik karena data project hilang,"aku panik karena, data project hilang","aku panik karena, data project hilang","['aku', 'panik', 'karena', ',', 'data', 'project', 'hilang']","['panik', ',', 'data', 'project', 'hilang']","panik , data project hilang",1
Hari ini karena jualan rame jadi semangat lagi,happy,Hari ini karena jualan rame jadi semangat lagi,hari ini karena jualan rame jadi semangat lagi,hari ini karena jualan ramai jadi semangat lagi,"['hari', 'ini', 'karena', 'jualan', 'ramai', 'jadi', 'semangat', 'lagi']","['jualan', 'ramai', 'semangat']",jualan ramai semangat,2
"Malam ini, tabungan kepake semua",sad,Malam ini tabungan kepake semua,"malam ini, tabungan kepake semua","malam ini, tabungan kepake semua","['malam', 'ini', ',', 'tabungan', 'kepake', 'semua']","['malam', ',', 'tabungan', 'kepake']","malam , tabungan kepake",4
Jujur karena kehilangan file penting aku jadi males ngomong,sad,Jujur karena kehilangan file penting aku jadi males ngomong,jujur karena kehilangan file penting aku jadi males ngomong,jujur karena kehilangan file penting aku jadi males bicara,"['jujur', 'karena', 'kehilangan', 'file', 'penting', 'aku', 'jadi', 'males', 'bicara']","['jujur', 'kehilangan', 'file', 'males', 'bicara']",jujur kehilangan file males bicara,4
Hari ini pas ngerjain tugas rutin ga terlalu capek juga,neutral,Hari ini pas ngerjain tugas rutin ga terlalu capek juga,hari ini pas ngerjain tugas rutin ga terlalu capek juga,hari ini pas ngerjain tugas rutin ga terlalu capek juga,"['hari', 'ini', 'pas', 'ngerjain', 'tugas', 'rutin', 'ga', 'terlalu', 'capek', 'juga']","['pas', 'ngerjain', 'tugas', 'rutin', 'capek']",pas ngerjain tugas rutin capek,3
Malam ini karena kerjaan revisi terus rasanya pengen sendiri dulu,sad,Malam ini karena kerjaan revisi terus rasanya pengen sendiri dulu,malam ini karena kerjaan revisi terus rasanya pengen sendiri dulu,malam ini karena kerjaan revisi terus rasanya pengen sendiri dulu,"['malam', 'ini', 'karena', 'kerjaan', 'revisi', 'terus', 'rasanya', 'pengen', 'sendiri', 'dulu']","['malam', 'kerjaan', 'revisi', 'pengen']",malam kerjaan revisi pengen,4
"Serius deh, berhasil push rank",happy,Serius deh berhasil push rank,"serius deh, berhasil push rank","serius deh, berhasil push rank","['serius', 'deh', ',', 'berhasil', 'push', 'rank']","['serius', 'deh', ',', 'berhasil', 'push', 'rank']","serius deh , berhasil push rank",2
Hari ini bikin emosi server down terus,angry,Hari ini bikin emosi server down terus,hari ini bikin emosi server down terus,hari ini bikin emosi server down terus,"['hari', 'ini', 'bikin', 'emosi', 'server', 'down', 'terus']","['bikin', 'emosi', 'server']",bikin emosi server,0
Tadi pagi karena gaji cair lebih cepat,happy,Tadi pagi karena gaji cair lebih cepat,tadi pagi karena gaji cair lebih cepat,tadi pagi karena gaji cair lebih cepat,"['tadi', 'pagi', 'karena', 'gaji', 'cair', 'lebih', 'cepat']","['pagi', 'gaji', 'cair', 'cepat']",pagi gaji cair cepat,2
sedih,sad,sedih,sedih,sedih,['sedih'],['sedih'],sedih,4
"Jujur agak cemas, data project hilang dan susah tidur jadinya",fear,Jujur agak cemas data project hilang dan susah tidur jadinya,"jujur agak cemas, data project hilang dan susah tidur jadinya","jujur agak cemas, data project hilang dan susah tidur jadinya","['jujur', 'agak', 'cemas', ',', 'data', 'project', 'hilang', 'dan', 'susah', 'tidur', 'jadinya']","['jujur', 'cemas', ',', 'data', 'project', 'hilang', 'susah', 'tidur']","jujur cemas , data project hilang susah tidur",1
"Sekarang lagi takut, takut mengecewakan tim aku jadi overthinking terus",fear,Sekarang lagi takut takut mengecewakan tim aku jadi overthinking terus,"sekarang lagi takut, takut mengecewakan tim aku jadi overthinking terus","sekarang lagi takut, takut mengecewakan tim aku jadi overthinking terus","['sekarang', 'lagi', 'takut', ',', 'takut', 'mengecewakan', 'tim', 'aku', 'jadi', 'overthinking', 'terus']","['takut', ',', 'takut', 'mengecewakan', 'tim', 'overthinking']","takut , takut mengecewakan tim overthinking",1
Hari ini bikin emosi pas akun tiba-tiba logout dan bikin stres banget,angry,Hari ini bikin emosi pas akun tibatiba logout dan bikin stres banget,hari ini bikin emosi pas akun tiba-tiba logout dan bikin stres banget,hari ini bikin emosi pas akun tiba-tiba logout dan bikin stres banget,"['hari', 'ini', 'bikin', 'emosi', 'pas', 'akun', 'tiba-tiba', 'logout', 'dan', 'bikin', 'stres', 'banget']","['bikin', 'emosi', 'pas', 'akun', 'logout', 'bikin', 'stres', 'banget']",bikin emosi pas akun logout bikin stres banget,0
Sumpah ya client ubah requirement mendadak,angry,Sumpah ya client ubah requirement mendadak,sumpah ya client ubah requirement mendadak,sumpah iya client ubah requirement mendadak,"['sumpah', 'iya', 'client', 'ubah', 'requirement', 'mendadak']","['sumpah', 'client', 'ubah', 'requirement', 'mendadak']",sumpah client ubah requirement mendadak,0
"Barusan, tim ga koordinasi aku jadi susah tenang",angry,Barusan tim ga koordinasi aku jadi susah tenang,"barusan, tim ga koordinasi aku jadi susah tenang","barusan, tim ga koordinasi aku jadi susah tenang","['barusan', ',', 'tim', 'ga', 'koordinasi', 'aku', 'jadi', 'susah', 'tenang']","['barusan', ',', 'tim', 'koordinasi', 'susah', 'tenang']","barusan , tim koordinasi susah tenang",0
yok semangat yooooooook,happy,yok semangat yooooooook,yok semangat yooooooook,yok semangat yooooooook,"['yok', 'semangat', 'yooooooook']","['yok', 'semangat', 'yooooooook']",yok semangat yooooooook,2
"Aku jadi kepikiran, data project hilang",fear,Aku jadi kepikiran data project hilang,"aku jadi kepikiran, data project hilang","aku jadi kepikiran, data project hilang","['aku', 'jadi', 'kepikiran', ',', 'data', 'project', 'hilang']","['kepikiran', ',', 'data', 'project', 'hilang']","kepikiran , data project hilang",1
Deg-degan banget karena harus presentasi depan banyak orang,fear,Degdegan banget karena harus presentasi depan banyak orang,deg-degan banget karena harus presentasi depan banyak orang,deg-degan banget karena harus presentasi depan banyak orang,"['deg-degan', 'banget', 'karena', 'harus', 'presentasi', 'depan', 'banyak', 'orang']","['deg-degan', 'banget', 'presentasi', 'orang']",deg-degan banget presentasi orang,1
Gila sih karena internet mati pas meeting aku jadi susah tenang,angry,Gila sih karena internet mati pas meeting aku jadi susah tenang,gila sih karena internet mati pas meeting aku jadi susah tenang,gila sih karena internet mati pas meeting aku jadi susah tenang,"['gila', 'sih', 'karena', 'internet', 'mati', 'pas', 'meeting', 'aku', 'jadi', 'susah', 'tenang']","['gila', 'internet', 'mati', 'pas', 'meeting', 'susah', 'tenang']",gila internet mati pas meeting susah tenang,0
Seneng banget tim akhirnya kompak jadi semangat lagi,happy,Seneng banget tim akhirnya kompak jadi semangat lagi,seneng banget tim akhirnya kompak jadi semangat lagi,seneng banget tim akhirnya kompak jadi semangat lagi,"['seneng', 'banget', 'tim', 'akhirnya', 'kompak', 'jadi', 'semangat', 'lagi']","['seneng', 'banget', 'tim', 'kompak', 'semangat']",seneng banget tim kompak semangat,2
Aku kecewa karena karena merasa ga dihargai aku jadi overthinking,sad,Aku kecewa karena karena merasa ga dihargai aku jadi overthinking,aku kecewa karena karena merasa ga dihargai aku jadi overthinking,aku kecewa karena karena merasa ga dihargai aku jadi overthinking,"['aku', 'kecewa', 'karena', 'karena', 'merasa', 'ga', 'dihargai', 'aku', 'jadi', 'overthinking']","['kecewa', 'dihargai', 'overthinking']",kecewa dihargai overthinking,4
"aquarius gak pinter bohong, to the point banget dan kadang karena to the pointnya dia itu suka bikin sakit hati jadi takut ketemuan",fear,aquarius gak pinter bohong to the point banget dan kadang karena to the pointnya dia itu suka bikin sakit hati jadi takut ketemuan,"aquarius gak pinter bohong, to the point banget dan kadang karena to the pointnya dia itu suka bikin sakit hati jadi takut ketemuan","aquarius gak pinter bohong, to the point banget dan kadang karena to the pointnya dia itu suka bikin sakit hati jadi takut ketemuan","['aquarius', 'gak', 'pinter', 'bohong', ',', 'to', 'the', 'point', 'banget', 'dan', 'kadang', 'karena', 'to', 'the', 'pointnya', 'dia', 'itu', 'suka', 'bikin', 'sakit', 'hati', 'jadi', 'takut', 'ketemuan']","['aquarius', 'pinter', 'bohong', ',', 'point', 'banget', 'kadang', 'pointnya', 'suka', 'bikin', 'sakit', 'hati', 'takut', 'ketemuan']","aquarius pinter bohong , point banget kadang pointnya suka bikin sakit hati takut ketemuan",1
Akhirnya karena diterima magang dan hariku jadi lebih enak,happy,Akhirnya karena diterima magang dan hariku jadi lebih enak,akhirnya karena diterima magang dan hariku jadi lebih enak,akhirnya karena diterima magang dan hariku jadi lebih enak,"['akhirnya', 'karena', 'diterima', 'magang', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['diterima', 'magang', 'hariku', 'enak']",diterima magang hariku enak,2
Aku lagi masak sederhana lalu lanjut aktivitas lagi,neutral,Aku lagi masak sederhana lalu lanjut aktivitas lagi,aku lagi masak sederhana lalu lanjut aktivitas lagi,aku lagi masak sederhana lalu lanjut aktivitas lagi,"['aku', 'lagi', 'masak', 'sederhana', 'lalu', 'lanjut', 'aktivitas', 'lagi']","['masak', 'sederhana', 'aktivitas']",masak sederhana aktivitas,3
Aku marah karena pas laptop ngefreeze pas presentasi,angry,Aku marah karena pas laptop ngefreeze pas presentasi,aku marah karena pas laptop ngefreeze pas presentasi,aku marah karena pas laptop ngefreeze pas presentasi,"['aku', 'marah', 'karena', 'pas', 'laptop', 'ngefreeze', 'pas', 'presentasi']","['marah', 'pas', 'laptop', 'ngefreeze', 'pas', 'presentasi']",marah pas laptop ngefreeze pas presentasi,0
Aku takut kalau data project hilang dan susah tidur jadinya,fear,Aku takut kalau data project hilang dan susah tidur jadinya,aku takut kalau data project hilang dan susah tidur jadinya,aku takut kalau data project hilang dan susah tidur jadinya,"['aku', 'takut', 'kalau', 'data', 'project', 'hilang', 'dan', 'susah', 'tidur', 'jadinya']","['takut', 'data', 'project', 'hilang', 'susah', 'tidur']",takut data project hilang susah tidur,1
"chris wilder: ""namun malam ini adalah soal malam luar biasa untuk klub sepakbola ini dan mengapa penggemar di seluruh dunia menikmati piala fa. tidak ada perasaan yang lebih baik daripada memenangi laga piala fa di old trafford pada jumat malam seperti ini.""",neutral,chris wilder namun malam ini adalah soal malam luar biasa untuk klub sepakbola ini dan mengapa penggemar di seluruh dunia menikmati piala fa tidak ada perasaan yang lebih baik daripada memenangi laga piala fa di old trafford pada jumat malam seperti ini,"chris wilder: ""namun malam ini adalah soal malam luar biasa untuk klub sepakbola ini dan mengapa penggemar di seluruh dunia menikmati piala fa. tidak ada perasaan yang lebih baik daripada memenangi laga piala fa di old trafford pada jumat malam seperti ini.""","chris wilder: ""namun malam ini adalah soal malam luar biasa untuk klub sepakbola ini dan mengapa penggemar di seluruh dunia menikmati piala fa. tidak ada perasaan yang lebih baik daripada memenangi laga piala fa di old trafford pada jumat malam seperti ini.""","['chris', 'wilder', ':', '``', 'namun', 'malam', 'ini', 'adalah', 'soal', 'malam', 'luar', 'biasa', 'untuk', 'klub', 'sepakbola', 'ini', 'dan', 'mengapa', 'penggemar', 'di', 'seluruh', 'dunia', 'menikmati', 'piala', 'fa', '.', 'tidak', 'ada', 'perasaan', 'yang', 'lebih', 'baik', 'daripada', 'memenangi', 'laga', 'piala', 'fa', 'di', 'old', 'trafford', 'pada', 'jumat', 'malam', 'seperti', 'ini', '.', ""''""]","['chris', 'wilder', ':', '``', 'malam', 'malam', 'klub', 'sepakbola', 'penggemar', 'dunia', 'menikmati', 'piala', 'fa', '.', 'perasaan', 'memenangi', 'laga', 'piala', 'fa', 'old', 'trafford', 'jumat', 'malam', '.', ""''""]",chris wilder : `` malam malam klub sepakbola penggemar dunia menikmati piala fa . perasaan memenangi laga piala fa old trafford jumat malam . '',3
"pagi bang jon bukan nie? kangen ama ocehan bang jon,, sepi banget dah tl cuma mimin aja yg keliatan",sad,pagi bang jon bukan nie kangen ama ocehan bang jon sepi banget dah tl cuma mimin aja yg keliatan,"pagi bang jon bukan nie? kangen ama ocehan bang jon,, sepi banget dah tl cuma mimin aja yg keliatan","pagi bang jon bukan nie? kangen sama ocehan bang jon,, sepi banget deh tl cuma mimin saja yang kelihatan","['pagi', 'bang', 'jon', 'bukan', 'nie', '?', 'kangen', 'sama', 'ocehan', 'bang', 'jon', ',', ',', 'sepi', 'banget', 'deh', 'tl', 'cuma', 'mimin', 'saja', 'yang', 'kelihatan']","['pagi', 'bang', 'jon', 'nie', '?', 'kangen', 'ocehan', 'bang', 'jon', ',', ',', 'sepi', 'banget', 'deh', 'tl', 'mimin']","pagi bang jon nie ? kangen ocehan bang jon , , sepi banget deh tl mimin",4
Aku beneran kesel tetangga berisik tengah malam dan bikin stres banget,angry,Aku beneran kesel tetangga berisik tengah malam dan bikin stres banget,aku beneran kesel tetangga berisik tengah malam dan bikin stres banget,aku beneran kesel tetangga berisik tengah malam dan bikin stres banget,"['aku', 'beneran', 'kesel', 'tetangga', 'berisik', 'tengah', 'malam', 'dan', 'bikin', 'stres', 'banget']","['beneran', 'kesel', 'tetangga', 'berisik', 'malam', 'bikin', 'stres', 'banget']",beneran kesel tetangga berisik malam bikin stres banget,0
Entah kenapa pas hasil interview ditolak dan itu bikin down,sad,Entah kenapa pas hasil interview ditolak dan itu bikin down,entah kenapa pas hasil interview ditolak dan itu bikin down,entah kenapa pas hasil interview ditolak dan itu bikin down,"['entah', 'kenapa', 'pas', 'hasil', 'interview', 'ditolak', 'dan', 'itu', 'bikin', 'down']","['pas', 'hasil', 'interview', 'ditolak', 'bikin']",pas hasil interview ditolak bikin,4
